1 | 1 | 00000000183000 | Tuesday
1 | 1 | 00000000140000 | Saturday
1 | 2 | 00000000173000 | Friday
1 | 6 | 00000000210000 | Wednesday
1 | 6 | 00000000210000 | Thursday
1 | 6 | 00000000210000 | Friday
1 | 6 | 00000000210000 | Saturday
1 | 6 | 00000000210000 | Sunday
2 | 1 | 00000000190000 | Tuesday
3 | 1 | 00000000190000 | Tuesday
3 | 2 | 00000000150000 | Saturday
4 | 1 | 00000000173000 | Friday
4 | 2 | 00000000180000 | Wednesday
5 | 1 | 00000000183000 | Monday
5 | 4 | 00000000190000 | Tuesday
6 | 1 | 00000000183000 | Wednesday
6 | 1 | 00000000130000 | Saturday
6 | 1 | 00000000163000 | Sunday
6 | 2 | 00000000170000 | Wednesday
6 | 2 | 00000000170000 | Thursday
6 | 2 | 00000000170000 | Friday
6 | 2 | 00000000150000 | Sunday
6 | 6 | 00000000203000 | Thursday
6 | 6 | 00000000203000 | Friday
7 | 1 | 00000000180000 | Tuesday
8 | 1 | 00000000180000 | Tuesday
8 | 1 | 00000000140000 | Saturday
8 | 6 | 00000000210000 | Tuesday
8 | 6 | 00000000210000 | Thursday
8 | 6 | 00000000203000 | Sunday
9 | 1 | 00000000190000 | Wednesday
10 | 1 | 00000000183000 | Thursday
10 | 2 | 00000000170000 | Thursday
10 | 2 | 00000000150000 | Saturday
11 | 1 | 00000000180000 | Wednesday
11 | 1 | 00000000180000 | Friday
12 | 1 | 00000000183000 | Wednesday
12 | 1 | 00000000133000 | Saturday
12 | 1 | 00000000173000 | Sunday
12 | 2 | 00000000170000 | Wednesday
12 | 2 | 00000000173000 | Thursday
12 | 2 | 00000000133000 | Sunday
13 | 1 | 00000000190000 | Wednesday
14 | 1 | 00000000153000 | Sunday
15 | 1 | 00000000190000 | Tuesday
15 | 2 | 00000000170000 | Tuesday
15 | 2 | 00000000143000 | Saturday
15 | 4 | 00000000190000 | Wednesday
15 | 5 | 00000000190000 | Monday
16 | 1 | 00000000190000 | Tuesday
17 | 1 | 00000000180000 | Monday
17 | 1 | 00000000180000 | Thursday
17 | 6 | 00000000210000 | Sunday
17 | 6 | 00000000210000 | Monday
17 | 6 | 00000000210000 | Tuesday
17 | 6 | 00000000210000 | Wednesday
17 | 6 | 00000000210000 | Thursday
17 | 6 | 00000000210000 | Friday
17 | 6 | 00000000210000 | Saturday
18 | 1 | 00000000133000 | Saturday
18 | 2 | 00000000170000 | Tuesday
18 | 2 | 00000000170000 | Friday
18 | 2 | 00000000130000 | Saturday
19 | 1 | 00000000180000 | Monday
19 | 1 | 00000000130000 | Saturday
19 | 6 | 00000000210000 | Sunday
19 | 6 | 00000000210000 | Monday
19 | 6 | 00000000210000 | Tuesday
19 | 6 | 00000000210000 | Wednesday
19 | 6 | 00000000210000 | Thursday
19 | 6 | 00000000210000 | Friday
19 | 6 | 00000000210000 | Saturday
20 | 1 | 00000000180000 | Monday
20 | 1 | 00000000180000 | Thursday
20 | 2 | 00000000160000 | Friday
20 | 2 | 00000000140000 | Saturday
20 | 4 | 00000000183000 | Tuesday
20 | 5 | 00000000190000 | Saturday
20 | 6 | 00000000200000 | Wednesday
20 | 6 | 00000000200000 | Saturday
21 | 1 | 00000000183000 | Thursday
21 | 2 | 00000000170000 | Wednesday
21 | 2 | 00000000160000 | Saturday
21 | 6 | 00000000203000 | Friday



















